0001, Age, 35, IncomeLevel, 82, Assets, 38, Amount, 8, Job, 0, History, 1
0002, Age, 24, IncomeLevel, 83, Assets, 23, Amount, 4, Job, 5, History, 6
0003, Age, 46, IncomeLevel, 68, Assets, 32, Amount, 5, Job, 5, History, 0
0004, Age, 51, IncomeLevel, 86, Assets, 24, Amount, 3, Job, 2, History, 0
0005, Age, 37, IncomeLevel, 77, Assets, 29, Amount, 8, Job, 2, History, 6
0006, Age, 40, IncomeLevel, 69, Assets, 27, Amount, 8, Job, 5, History, 2
0007, Age, 31, IncomeLevel, 39, Assets, 26, Amount, 8, Job, 4, History, 1
0008, Age, 37, IncomeLevel, 34, Assets, 38, Amount, 2, Job, 5, History, 3
0009, Age, 44, IncomeLevel, 57, Assets, 19, Amount, 3, Job, 1, History, 3
0010, Age, 55, IncomeLevel, 85, Assets, 20, Amount, 1, Job, 1, History, 0
0011, Age, 47, IncomeLevel, 30, Assets, 24, Amount, 7, Job, 4, History, 2
0012, Age, 46, IncomeLevel, 78, Assets, 38, Amount, 4, Job, 2, History, 4
0013, Age, 39, IncomeLevel, 59, Assets, 21, Amount, 7, Job, 5, History, 3
0014, Age, 24, IncomeLevel, 28, Assets, 28, Amount, 3, Job, 2, History, 4
0015, Age, 46, IncomeLevel, 67, Assets, 30, Amount, 6, Job, 3, History, 5
0016, Age, 51, IncomeLevel, 82, Assets, 39, Amount, 5, Job, 1, History, 4
0017, Age, 37, IncomeLevel, 38, Assets, 29, Amount, 2, Job, 2, History, 1
0018, Age, 40, IncomeLevel, 64, Assets, 21, Amount, 3, Job, 1, History, 0
0019, Age, 31, IncomeLevel, 41, Assets, 28, Amount, 7, Job, 2, History, 2
0020, Age, 37, IncomeLevel, 103, Assets, 33, Amount, 4, Job, 2, History, 1
0021, Age, 44, IncomeLevel, 57, Assets, 14, Amount, 7, Job, 4, History, 2
0022, Age, 55, IncomeLevel, 31, Assets, 31, Amount, 3, Job, 3, History, 6
0023, Age, 47, IncomeLevel, 51, Assets, 28, Amount, 2, Job, 3, History, 3
0024, Age, 24, IncomeLevel, 69, Assets, 13, Amount, 7, Job, 5, History, 2
0025, Age, 46, IncomeLevel, 31, Assets, 45, Amount, 3, Job, 5, History, 5
0026, Age, 51, IncomeLevel, 29, Assets, 23, Amount, 3, Job, 2, History, 6
0027, Age, 37, IncomeLevel, 105, Assets, 20, Amount, 8, Job, 3, History, 0
0028, Age, 40, IncomeLevel, 51, Assets, 20, Amount, 7, Job, 0, History, 6
0029, Age, 31, IncomeLevel, 98, Assets, 33, Amount, 8, Job, 5, History, 4
0030, Age, 37, IncomeLevel, 28, Assets, 19, Amount, 7, Job, 4, History, 2
0031, Age, 44, IncomeLevel, 42, Assets, 30, Amount, 4, Job, 1, History, 6
0032, Age, 55, IncomeLevel, 70, Assets, 34, Amount, 8, Job, 0, History, 3
0033, Age, 47, IncomeLevel, 50, Assets, 38, Amount, 3, Job, 0, History, 3
0034, Age, 40, IncomeLevel, 93, Assets, 12, Amount, 5, Job, 3, History, 4
0035, Age, 31, IncomeLevel, 61, Assets, 41, Amount, 5, Job, 1, History, 0
0036, Age, 37, IncomeLevel, 75, Assets, 42, Amount, 7, Job, 5, History, 4
0037, Age, 44, IncomeLevel, 70, Assets, 21, Amount, 3, Job, 3, History, 1
0038, Age, 47, IncomeLevel, 27, Assets, 31, Amount, 1, Job, 0, History, 2
0039, Age, 24, IncomeLevel, 56, Assets, 23, Amount, 6, Job, 0, History, 5
0040, Age, 46, IncomeLevel, 59, Assets, 17, Amount, 1, Job, 2, History, 6
0041, Age, 51, IncomeLevel, 82, Assets, 22, Amount, 2, Job, 5, History, 4
0042, Age, 37, IncomeLevel, 39, Assets, 30, Amount, 3, Job, 0, History, 6
0043, Age, 40, IncomeLevel, 41, Assets, 12, Amount, 3, Job, 2, History, 4
0044, Age, 31, IncomeLevel, 52, Assets, 30, Amount, 7, Job, 1, History, 4
0045, Age, 55, IncomeLevel, 44, Assets, 45, Amount, 1, Job, 4, History, 1
0046, Age, 47, IncomeLevel, 57, Assets, 32, Amount, 1, Job, 4, History, 1
0047, Age, 46, IncomeLevel, 61, Assets, 28, Amount, 7, Job, 4, History, 5
0048, Age, 39, IncomeLevel, 57, Assets, 32, Amount, 4, Job, 2, History, 2
0049, Age, 24, IncomeLevel, 53, Assets, 47, Amount, 4, Job, 5, History, 0
0050, Age, 46, IncomeLevel, 73, Assets, 19, Amount, 5, Job, 1, History, 2
